Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
3/22/2019,5.9,15.5,32,9,7,8.5,-36,171,24,-1,-34,-62,-8,-153,-130,-1500,20,-128
3/25/2019,-11.9,-37,-143,-23,-20,-25,-91.5,-102,-56,-64,-120,-63.5,-106,-236,-190,-1500,-185,-117
3/26/2019,13.1,34,150,19,19,32,92.5,85,101.5,67,111,53,78,293,200,228,126,202
3/27/2019,-33.5,-25,-137,-18,-8,-18.5,-24,-38,-99.5,4,-37,15,4,167,180,-55,-3442,30
3/28/2019,-14.6,-34.5,-109,-16,-8,-11,-29,-85,-89,-49,-101,-62.5,-65,-191,-100,-82,-97,-82
3/29/2019,-2.2,16.5,-27,6,-5,-3.5,-7,-42,-70.5,34,-51,21.5,63,135,10,57,18,700
4/1/2019,16.3,36.5,159,19,17,26.5,80,20,64,45,54,36,17,0,30,64,2,421
4/2/2019,8.2,22,43,18,1,26,35,29,35,35,-23,-21,-118,-57,-140,82,8,-33
4/3/2019,5.6,10,39,6,0,2.5,25,-14,43,-10,8,-28.5,-6,-19,-200,125,-23,-118
4/4/2019,5.4,-7.5,46,1,10,-3.5,29,139,32,-20,-54,2,39,-153,-10,-47,-24,-71
4/5/2019,0.4,11,66,8,4,17.5,15,-49,62.5,130,-7,3.5,18,-31,-90,39,16,-30
4/8/2019,-7.8,-10.5,-52,-9,-5,-12,-48,-27,-11,-15,-56,3.5,-9,-23,-40,-55,32,22
4/9/2019,1.3,4,43,6,0,36.5,13,5,4.5,-3,6,-11,-36,-26,20,-1,-19,-12
4/10/2019,-11.6,6.5,-36,-5,-3,-16,-33,-39,-17,-13,-37,-26.5,-40,-93,-110,4,-32,-41
4/11/2019,4.7,13,-54,7,3,4.5,-37,20,42,-25,-22,1.5,-22,96,40,86,31,21
4/12/2019,-1.7,-0.5,48,-1,-1,-2.5,11,-33,-11,37,-97,-48,-77,37,-130,-98,-34,-44
4/15/2019,7.4,14.5,42,20,8,-3.5,34,-115,-3,63,-16,7.5,41,-62,0,169,78,97
4/16/2019,-1.7,9.5,-16,-16,-3,0.5,19,-13,35,1,-8,-3,-95,94,-60,29,-35,-101
4/17/2019,22.8,28.5,138,21,15,32.5,32,195,44,72,-50,-9,46,8,20,-77,-94,-33
4/18/2019,3.3,-3.5,23,6,9,1.5,44,156,14.5,-36,-149,-50,-115,-200,-190,-168,-103,-215
4/19/2019,-21.5,-0.5,-18,35,0,-3.5,-16,-2,-38.5,9,-11,-4,0,-94,40,11,-8,48
4/22/2019,5.2,-7,5,1,0,-9,-31,-15,-23.5,-18,59,5,35,-30,-10,71,32,-15
4/23/2019,-1.9,8.5,30,4,-3,1.5,15,21,-23,-38,-17,7.5,25,88,70,6,80,132
4/24/2019,-37.7,-20.5,-102,-30,-8,-16,-88,-28,-39.5,-26,45,-4,-19,-52,30,26,19,86
4/25/2019,-16,5.5,10,-19,4,2,11,15,16,-8,27,-38.5,14,91,220,30,38,-39
4/26/2019,4.4,22,4,44,-13,-8.5,-4,-98,-28,-63,-61,27.5,15,50,-60,-55,3,306
5/7/2019,-15.3,-40.5,-81,-51,-3,-10,-24,-25,-90,-37,142,-24,49,98,70,-58,35,309
5/8/2019,-4.3,-49.5,-65,-26,-14,-7,-87.5,-126,-31.5,-301,-135,-46.5,-21,-24,50,-82,-75,-37
5/9/2019,-15.3,-66,-214,-12,-18,-6,-140,9,-79,5,8,-0.5,-32,-51,-120,39,-29,-263
5/10/2019,0.1,3.5,-8,-12,-81,-29.5,-17.5,-120,-67,-34,164,6.5,-34,152,60,10,-183,32
5/13/2019,7.2,-4.5,8,-1,-5,-17,-15.5,262,112,-12,27,7,44,-183,-110,14,-125,-38
5/14/2019,-25.5,-230,-16,-11,-9,-25.5,-13.5,1,-59,3,-11,10,-92,45,10,147,-19,11
5/15/2019,-54.4,-29,41,-13,2,-2.5,2,-1,68.5,-7,-337,-4.5,-75,-190,-20,-325,64,37
5/16/2019,1.3,4.5,-68,-9,-11,-1.5,-17,-40,-9,6,-119,19.5,107,7,140,76,39,-71
5/17/2019,-6.7,25.5,0,1,-3,-9.5,24,-68,19,-5,-2,30,-4,-12,90,239,63,124
5/20/2019,-10.3,21.5,25,-7,4,-2.5,17.5,234,-8,7,155,3,-4,97,20,-120,69,-116
5/21/2019,1.2,52.5,-33,-22,4,-12,3,225,8.5,5,-29,-14.5,-6,7,-120,29,-26,63
5/22/2019,-15.2,-8.5,-3,6,-5,-17.5,-1,-299,22,-4,-75,0.5,-1,-62,50,45,-43,28
5/23/2019,-8.5,-44,8,-16,-3,-17.5,-25,-5,-34,-36,-28,17.5,-88,14,80,137,6,65
5/24/2019,-7,29,3,-1,5,4.5,-16.5,164,8.5,10,-25,10,47,-158,-50,1,16,-55
5/27/2019,7.2,-15.5,52,6,1,0,-31,95,51.5,-19,95,1,24,33,-30,-34,11,50
5/28/2019,17.3,-6.5,50,7,29,8.5,11,128,37.5,34,7,-16.5,-7,-22,0,19,30,-141
5/29/2019,14.1,-3,-23,-8,13,-13,-11,-133,-53,-27,-99,30.5,-55,-90,80,-40,-98,-97
5/30/2019,-3.4,27,-10,12,4,-14.5,10,-41,-27,32,-59,-65,-50,-172,50,20,37,0
5/31/2019,-41.2,-62,-187,-30,-21,-81.5,-118,-167,-68.5,-45,-122,-10.5,-23,-25,-50,-188,-31,-127
6/3/2019,10.2,21.5,-41,1,2,2,8.5,-57,17,-37,-97,9.5,-77,-40,-60,-41,-38,193
6/4/2019,14,10.5,25,13,8,18.5,57.5,19,89,49,29,23,-17,56,-20,-14,-59.5,76
6/5/2019,4.1,47.5,162,18,7,39,78,61,-36,56,46,21.5,37,204,70,20,99.5,364
6/6/2019,-13,-57,17,-43,-31,-6,-54.5,-32,16.5,-33,-35,-15.5,-73,-120,-30,-49,33,101
6/7/2019,11.1,34,41,8,9,1.5,-2.5,31,0,13,78,-12,-35,36,-30,16,30,98
6/10/2019,6.4,3,118,21,7,12,42,122,14,15,85,24,26,-3,0,1,47,63
6/11/2019,2.7,15,73,7,11,12,7.5,2,17.5,13,56,-18.5,12,-49,-60,70,-7,50
6/12/2019,-4.5,-32,39,-1,-11,-22,-11,-85,-38.5,-19,-16,-2,-15,37,-30,-69,-41,-174
6/13/2019,-8.8,-15,-92,-13,-10,-14.5,-22,-37,-42,-29,-55,-18.5,-17,85,10,-76,33,2
6/14/2019,-1.3,13.5,17,0,0,1,0.5,17,3,16,-10,4.5,20,52,30,30,11,-39
6/17/2019,2.4,-16,-16,11,-4,-1,20,-22,6,-25,-53,-18,-30,-88,-110,-8,41,104
6/18/2019,-5.4,-13,-8,-7,-8,6,-9,3,-23,-10,6,8.5,-4,67,-50,-122,-85,19
6/19/2019,10.5,22.5,53,22,12,24,58,25,40.5,48,120,35,44,6,80,184,21,11
6/20/2019,-0.9,-3.5,-32,1,0,-17.5,-53,-42,-17,-23,0,-3.5,-11,-55,20,113,96,-84
6/21/2019,4.2,-2.5,-53,-6,-1,-8.5,-5,-86,-74.5,10,-45,-41.5,-57,22,-50,-253,-63,-250
6/24/2019,0.2,-8,6,5,7,11.5,19.5,-115,38,15,-37,3.5,16,69,20,55,4,188
6/25/2019,-2.2,-3.5,-42,-1,0,-13,-20,-15,-16.5,-25,51,10.5,-40,32,0,-70,-12,-225
6/26/2019,-3.1,-25,-38,-3,-9,1,-34.5,-57,-8,-30,51,57,42,40,0,-12,-67,-50
6/27/2019,16.6,40.5,61,28,17,16,57.5,129,112.5,52,-33,-6,-22,-63,-50,44,54,-66
6/28/2019,-6.2,-5.5,14,-15,-2,1,-3.5,45,-1.5,-4,13,11,15,-19,60,-111,25,-1
7/1/2019,18,20,186,5,17,21.5,60,77,114.5,45,34,26.5,85,106,140,174,49,345
7/2/2019,-2.9,-1,10,-8,-3,-8,-8,21,-8,1,-30,9.5,-37,40,100,6,25,44
7/3/2019,-16.1,-3,-63,-15,-8,-18.5,-47,18,3.5,-26,2,18.5,-15,-35,40,-42,-42,-45
